season,game_date,home_team,away_team,home_score,away_score,outcome,elo_diff,ppg_diff,goals_for_diff,goals_against_diff,form_5g_diff,rest_days_diff,home_advantage_diff,xg_for_diff,xg_against_diff,possession_diff,draw_tendency_diff,travel_distance,midweek_flag,altitude_flag,is_home,poisson_home,poisson_draw,poisson_away
2019,2019-04-13,HOU,SJ,2,1,H,65.7346,1.9,1.5,-1.55,0.6333,7,-0.5833,0.05,-0.805,-5.89,0.25,0.536,0,0,1.0,0.4167,0.217,0.3663
2019,2019-04-13,SEA,TOR,3,2,H,6.1569,0.1,-0.8,-0.65,0.0333,-1,0.8333,-0.255,0.62,2.44,-0.05,0.6884,0,0,1.0,0.3436,0.2023,0.4541
2019,2019-04-13,MIN,NYC,3,3,D,31.7702,1.0,1.4,0.0,0.3333,0,-0.6,-0.24,0.39,-12.34,-0.8,0.3371,0,0,1.0,0.341,0.2159,0.4432
2019,2019-04-13,NE,ATL,0,2,A,-11.9966,0.1667,0.3333,0.1667,0.0333,-7,0.3333,-0.0583,0.0042,-17.2,-0.3333,0.3057,0,0,1.0,0.3597,0.2564,0.3839
2019,2019-04-14,DAL,POR,2,1,H,54.6076,1.4667,0.6667,-1.8333,0.5333,1,0.3333,-0.2717,-1.1167,11.0233,-0.0333,0.5381,0,0,1.0,0.3542,0.2347,0.4111
2019,2019-04-14,COL,DC,2,3,A,-45.1376,-1.5,0.0,1.8333,-0.4667,4,0.0,0.2333,0.4667,-2.05,0.0,0.4966,0,1,1.0,0.4206,0.227,0.3525
2019,2019-04-14,RSL,ORL,2,1,H,-22.5521,-0.6667,-0.8333,0.3333,-0.2667,-1,0.75,-0.1083,-0.025,-7.8833,-0.1667,0.6372,0,1,1.0,0.3559,0.2459,0.3981
2019,2019-04-14,LA,PHI,2,0,H,9.4759,0.7333,0.3,0.0333,0.1333,0,0.1667,-0.2833,0.7367,3.62,-0.1667,0.7972,0,0,1.0,0.3207,0.2229,0.4564
2019,2019-04-14,LAFC,CIN,2,0,H,58.3886,1.3333,1.8333,-0.5,0.3333,1,0.3333,1.3167,-0.5,10.6833,-0.1667,0.6317,0,0,1.0,0.6403,0.1767,0.183
2019,2019-04-14,SKC,RBNY,2,2,D,28.9651,0.8,1.2,-0.2,0.2667,-1,0.6667,0.3,0.33,4.9,0.2,0.3688,0,0,1.0,0.4392,0.2168,0.344
2019,2019-04-18,VAN,LAFC,1,0,H,-95.5299,-2.381,-2.3333,1.0,-0.7333,1,-0.3333,-1.3583,0.8667,-8.7333,0.1905,0.361,1,0,1.0,0.1782,0.1703,0.6515
2019,2019-04-19,CIN,RSL,0,3,A,15.1828,0.1429,0.1667,-1.1667,0.2667,0,-0.5833,-0.0333,-0.325,2.2,0.1429,0.4832,0,0,1.0,0.3729,0.2554,0.3717
2019,2019-04-20,TOR,MIN,4,3,H,5.2072,0.3333,0.4667,-0.2333,0.2,0,0.7667,0.42,-0.6083,12.8267,0.0333,0.2284,0,0,1.0,0.4814,0.2114,0.3072
2019,2019-04-20,LA,HOU,2,1,H,-2.2857,-0.1,-0.5667,-0.2,-0.0667,-1,0.75,-0.3267,0.07,3.33,-0.2,0.457,0,0,1.0,0.3297,0.2185,0.4518
2019,2019-04-20,CHI,COL,4,1,H,30.0839,0.7143,0.0,-1.0,0.3333,1,0.25,0.3,-0.375,1.75,0.2143,0.3057,0,0,1.0,0.4558,0.2079,0.3363
2019,2019-04-20,PHI,MTL,3,0,H,-5.9856,-0.1429,0.3333,-0.6667,0.1333,-1,-0.25,0.2417,-0.6167,-1.6333,-0.1429,0.1307,0,0,1.0,0.4435,0.2317,0.3248
2019,2019-04-20,ORL,VAN,1,0,H,10.8861,0.4286,0.8333,0.6667,0.0667,4,-0.3333,0.1083,-0.1833,5.55,0.0,0.8712,0,0,1.0,0.4044,0.2419,0.3536
2019,2019-04-20,ATL,DAL,1,2,A,-24.3702,-0.8571,-1.0333,0.0333,-0.2667,1,-0.75,0.185,-0.4633,2.9867,0.2571,0.2442,0,0,1.0,0.4288,0.2333,0.3379
2019,2019-04-20,CLB,POR,1,3,A,56.9561,1.6905,0.0,-2.1667,0.6,1,0.4167,-0.5667,-0.9083,4.15,-0.0238,0.6764,0,0,1.0,0.2917,0.235,0.4733
2019,2019-04-20,NE,RBNY,1,0,H,-29.4757,-0.2619,-0.6667,0.5,-0.0667,1,-0.0833,-0.475,0.1333,-1.8,-0.1905,0.0577,0,0,1.0,0.2871,0.2347,0.4782
2019,2019-04-21,SJ,SKC,4,1,H,-60.0088,-1.0,-1.3333,1.5,-0.4,1,-0.4167,-0.2583,0.6333,-0.5,-0.5,0.4905,0,0,1.0,0.3392,0.2071,0.4537
2019,2019-04-21,DC,NYC,0,2,A,29.9782,1.1667,0.5,-0.6667,0.4,-1,-0.1667,-0.6167,0.3583,-10.9,-0.5476,0.0688,0,0,1.0,0.2707,0.2166,0.5127
2019,2019-04-21,LAFC,SEA,4,1,H,14.9366,-0.2917,0.1667,-0.1667,-0.0667,-5,0.0,0.6167,-0.625,-1.0,-0.0417,0.3206,0,0,1.0,0.5176,0.1899,0.2925
2019,2019-04-24,NYC,CHI,1,0,H,4.0154,-0.1429,-0.6667,0.0,-0.1333,-1,-0.65,-0.0417,0.15,11.6333,0.2857,0.2368,1,0,1.0,0.3866,0.2066,0.4068
2019,2019-04-24,CLB,DC,0,1,A,-5.3848,-0.125,-0.8333,-0.3333,-0.0667,1,0.5333,-0.0917,-0.25,1.8,-0.125,0.1093,1,0,1.0,0.3613,0.2514,0.3873
2019,2019-04-24,NE,MTL,0,3,A,-32.6015,-0.5,0.0,-0.3333,0.0667,0,-0.3143,-0.2917,0.2417,4.9167,-0.125,0.0875,1,0,1.0,0.3097,0.2506,0.4396
2019,2019-04-25,MIN,LA,0,0,D,-20.0019,-1.1429,0.5,1.1667,-0.7333,0,-1.0,0.1667,0.675,-12.0,0.1429,0.5098,1,0,1.0,0.405,0.2239,0.371
2019,2019-04-25,SEA,SJ,2,2,D,61.437,1.4286,0.3333,-1.1667,0.2667,0,0.2667,-0.45,-0.3583,-3.7,0.1429,0.236,1,0,1.0,0.3174,0.2163,0.4663
2019,2019-04-27,NYC,ORL,1,1,D,15.0147,0.0,-0.1667,-0.1667,-0.0667,-4,-0.0667,0.075,-0.3417,3.35,0.375,0.3139,0,0,1.0,0.4094,0.2229,0.3677
2019,2019-04-27,TOR,POR,1,2,A,59.1953,1.5952,2.0,-0.6667,0.4667,0,0.3929,0.525,-0.775,10.65,0.0238,0.7026,0,0,1.0,0.5045,0.2065,0.289
2019,2019-04-27,DAL,SJ,0,0,D,57.9138,1.125,0.0,-1.0,0.3333,5,-0.15,-0.5,-0.6667,-2.8167,0.0,0.4779,0,0,1.0,0.3189,0.2108,0.4703
2019,2019-04-27,VAN,PHI,1,1,D,-42.6036,-1.0,-1.1667,0.5,-0.4667,0,-0.25,-0.2917,1.0417,-5.1167,0.125,0.8009,0,0,1.0,0.2952,0.2456,0.4593
2019,2019-04-27,ATL,COL,1,0,H,39.8889,0.5833,-0.6667,-1.6667,0.3333,0,-0.3333,0.2083,-0.6833,11.1,0.0833,0.4032,0,0,1.0,0.4431,0.2166,0.3403
2019,2019-04-27,RBNY,CIN,1,0,H,6.8865,-0.2857,0.1667,0.0,-0.2,-1,0.3333,0.4083,-0.5083,6.1333,0.0357,0.1883,0,0,1.0,0.4741,0.2298,0.2961
2019,2019-04-28,HOU,CLB,2,0,H,35.0845,0.7222,1.5,0.0,0.4,4,0.0833,0.3917,-0.2583,-5.8333,0.0556,0.3317,0,0,1.0,0.4666,0.224,0.3094
2019,2019-04-28,SKC,NE,4,4,D,54.1992,0.5079,1.8333,0.0,0.0,3,0.3333,1.1417,-0.2667,5.8833,0.3175,0.4178,0,0,1.0,0.6126,0.1985,0.1888
2019,2019-04-28,MTL,CHI,1,0,H,19.6397,0.4306,-0.8333,0.1667,0.0,0,0.225,-0.6083,-0.0417,-2.6333,-0.1528,0.2463,0,0,1.0,0.2775,0.2201,0.5024
2019,2019-04-28,MIN,DC,1,0,H,2.195,-0.5139,0.8333,0.6667,-0.1333,-1,-0.15,0.2667,0.0333,-6.5833,0.0278,0.3097,0,0,1.0,0.4322,0.2386,0.3292
2019,2019-04-28,SEA,LAFC,1,1,D,-36.0163,-0.3194,-1.0,1.1667,-0.2667,-4,-0.0333,-0.9333,1.3,-6.9,0.1389,0.3206,0,0,1.0,0.2364,0.1795,0.5841
2019,2019-04-29,LA,RSL,2,1,H,40.5146,1.125,0.5,-1.5,0.4667,-6,0.2,0.4417,-0.5583,15.65,0.0,0.1912,0,0,1.0,0.4813,0.2325,0.2861
2019,2019-05-01,PHI,CIN,2,0,H,44.3765,0.6667,1.3333,-0.8333,0.6,0,0.5,0.525,-0.7583,3.0167,0.0,0.1672,1,0,1.0,0.5009,0.2499,0.2492
2019,2019-05-04,COL,VAN,2,3,A,-27.745,-0.4444,0.8333,2.1667,-0.3333,0,-0.2,0.2667,0.2833,5.9,-0.1111,0.3675,0,1,1.0,0.4289,0.2322,0.3389
2019,2019-05-04,RBNY,LA,3,2,H,-52.2119,-1.4444,-1.0,0.6667,-0.6,2,-0.1667,-0.1917,-0.2333,-3.0333,0.1389,0.8152,0,0,1.0,0.3478,0.2395,0.4127
2019,2019-05-04,HOU,DAL,2,1,H,5.2268,0.3968,0.5,0.0,0.1333,-1,0.2,0.475,-0.3667,0.5333,-0.0794,0.0797,0,0,1.0,0.487,0.2073,0.3057
2019,2019-05-04,ORL,TOR,0,2,A,-28.5099,-0.5238,-1.1667,-0.6667,0.0,0,0.05,-0.3583,-0.075,-8.4667,0.1905,0.3495,0,0,1.0,0.3291,0.2155,0.4554
2019,2019-05-04,MTL,NYC,0,2,A,9.8526,0.3667,-0.3333,-0.8333,0.0667,-1,0.675,-0.3333,-0.1583,-12.3167,-0.4667,0.1088,0,0,1.0,0.3199,0.237,0.4431
2019,2019-05-04,PHI,NE,6,1,H,72.1345,0.9,0.5,-1.1667,0.4,-3,0.2667,0.5667,-0.9167,5.1,0.0,0.0845,0,0,1.0,0.5148,0.2295,0.2557
2019,2019-05-05,DC,CLB,3,1,H,24.0461,0.4,0.0,0.3333,0.2667,0,-0.45,-0.4,-0.0417,-4.1667,0.1,0.1093,0,0,1.0,0.3069,0.2334,0.4597
2019,2019-05-05,MIN,SEA,1,1,D,-11.6387,-0.4444,0.3333,0.1667,0.0,0,-0.5,-0.1083,-0.1083,-4.7,-0.1111,0.4653,0,0,1.0,0.3623,0.2379,0.3998
